Posicao: (1,1) | Moedas: 0
Posicao: (1,2) | Moedas: 0
Posicao: (1,3) | Moedas: 0
Posicao: (1,4) | Moedas: 0
Posicao: (1,5) | Moedas: 0
Posicao: (1,6) | Moedas: 0
Posicao: (1,7) | Moedas: 0
Posicao: (1,8) | Moedas: 0
Posicao: (1,9) | Moedas: 0
Posicao: (1,10) | Moedas: 0
Posicao: (1,11) | Moedas: 0
Posicao: (1,12) | Moedas: 0
Posicao: (1,13) | Moedas: 0
Posicao: (1,14) | Moedas: 0
Posicao: (1,15) | Moedas: 0
Posicao: (1,16) | Moedas: 0
Posicao: (1,17) | Moedas: 0
Posicao: (1,18) | Moedas: 0
Posicao: (2,9) | Moedas: 0
Posicao: (3,9) | Moedas: 0
Posicao: (3,10) | Moedas: 0
Posicao: (3,11) | Moedas: 0
Posicao: (3,12) | Moedas: 0
Posicao: (3,13) | Moedas: 0
Posicao: (3,14) | Moedas: 0
Posicao: (3,15) | Moedas: 0
Posicao: (3,16) | Moedas: 0
Posicao: (3,17) | Moedas: 0
Posicao: (3,18) | Moedas: 0
Posicao: (4,17) | Moedas: 0
Posicao: (5,17) | Moedas: 0
Posicao: (5,18) | Moedas: 0
Posicao: (5,16) | Moedas: 0
Posicao: (5,15) | Moedas: 0
Posicao: (5,14) | Moedas: 0
Posicao: (5,13) | Moedas: 0
Posicao: (5,12) | Moedas: 0
Posicao: (5,11) | Moedas: 0
Posicao: (5,10) | Moedas: 0
Posicao: (5,9) | Moedas: 0
Posicao: (5,8) | Moedas: 0
Posicao: (5,7) | Moedas: 0
Posicao: (5,6) | Moedas: 0
Posicao: (5,5) | Moedas: 0
Posicao: (5,4) | Moedas: 0
Posicao: (5,3) | Moedas: 0
Posicao: (5,2) | Moedas: 0
Posicao: (5,1) | Moedas: 0
Posicao: (6,1) | Moedas: 0
Posicao: (7,1) | Moedas: 0
Posicao: (7,2) | Moedas: 0
Posicao: (7,3) | Moedas: 0
Posicao: (7,4) | Moedas: 0
Posicao: (7,5) | Moedas: 0
Posicao: (7,6) | Moedas: 0
Posicao: (7,7) | Moedas: 0
Posicao: (7,8) | Moedas: 0
Posicao: (7,9) | Moedas: 0
Posicao: (7,10) | Moedas: 0
Posicao: (7,11) | Moedas: 0
Posicao: (7,12) | Moedas: 0
Posicao: (7,13) | Moedas: 0
Posicao: (7,14) | Moedas: 0
Posicao: (7,15) | Moedas: 0
Posicao: (7,16) | Moedas: 0
Posicao: (7,17) | Moedas: 0
Posicao: (7,18) | Moedas: 0
Posicao: (8,14) | Moedas: 0
Posicao: (9,14) | Moedas: 0
Posicao: (9,15) | Moedas: 0
Posicao: (9,16) | Moedas: 0
Posicao: (9,17) | Moedas: 0
Posicao: (9,18) | Moedas: 0
Posicao: (9,13) | Moedas: 0
Posicao: (9,12) | Moedas: 0
Posicao: (9,11) | Moedas: 0
Posicao: (9,10) | Moedas: 0
Posicao: (9,9) | Moedas: 0
Posicao: (9,8) | Moedas: 0
Posicao: (10,8) | Moedas: 0
Posicao: (11,8) | Moedas: 0
Posicao: (11,9) | Moedas: 0
Posicao: (11,10) | Moedas: 0
Posicao: (11,11) | Moedas: 0
Posicao: (11,12) | Moedas: 0
Posicao: (11,13) | Moedas: 0
Posicao: (11,14) | Moedas: 0
Posicao: (11,15) | Moedas: 0
Posicao: (11,16) | Moedas: 0
Posicao: (11,17) | Moedas: 0
Posicao: (11,18) | Moedas: 0
Posicao: (12,9) | Moedas: 0
Posicao: (13,9) | Moedas: 0
Posicao: (13,10) | Moedas: 0
Posicao: (13,11) | Moedas: 0
Posicao: (13,12) | Moedas: 0
Posicao: (13,13) | Moedas: 0
Posicao: (13,14) | Moedas: 0
Posicao: (13,15) | Moedas: 0
Posicao: (13,16) | Moedas: 0
Posicao: (13,17) | Moedas: 0
Posicao: (13,18) | Moedas: 0
Posicao: (13,8) | Moedas: 0
Posicao: (13,7) | Moedas: 0
Posicao: (13,6) | Moedas: 0
Posicao: (13,5) | Moedas: 0
Posicao: (13,4) | Moedas: 0
Posicao: (13,3) | Moedas: 0
Posicao: (13,2) | Moedas: 0
Posicao: (13,1) | Moedas: 0
Posicao: (14,1) | Moedas: 0
Posicao: (15,1) | Moedas: 0
Posicao: (15,2) | Moedas: 0
Posicao: (15,3) | Moedas: 0
Posicao: (15,4) | Moedas: 0
Posicao: (15,5) | Moedas: 0
Posicao: (15,6) | Moedas: 0
Posicao: (15,7) | Moedas: 0
Posicao: (15,8) | Moedas: 0
Posicao: (15,9) | Moedas: 0
Posicao: (15,10) | Moedas: 0
Posicao: (15,11) | Moedas: 0
Posicao: (15,12) | Moedas: 0
Posicao: (15,13) | Moedas: 0
Posicao: (15,14) | Moedas: 0
Posicao: (15,15) | Moedas: 0
Posicao: (15,16) | Moedas: 0
Posicao: (15,17) | Moedas: 0
Posicao: (15,18) | Moedas: 0
Posicao: (16,11) | Moedas: 0
Posicao: (17,11) | Moedas: 0
Posicao: (18,11) | Moedas: 0
Posicao: (18,12) | Moedas: 0
Posicao: (18,13) | Moedas: 0
Posicao: (18,14) | Moedas: 0
Posicao: (18,15) | Moedas: 0
Posicao: (18,16) | Moedas: 0
Posicao: (18,17) | Moedas: 0
Posicao: (18,18) | Moedas: 0
